	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
11.relig	0.402	0.406	0.385	0.403	0.441	0.444	0.397	0.412	0.864	0.856	0.847	0.833
	(0.226)	(0.226)	(0.231)	(0.234)	(0.250)	(0.251)	(0.255)	(0.257)	(0.245)	(0.245)	(0.245)	(0.246)
	[-0.041 - 0.846]	[-0.037 - 0.850]	[-0.068 - 0.837]	[-0.055 - 0.861]	[-0.049 - 0.932]	[-0.047 - 0.935]	[-0.103 - 0.898]	[-0.092 - 0.916]	[0.383 - 1.344]	[0.376 - 1.336]	[0.367 - 1.328]	[0.352 - 1.314]
	0.075	0.072	0.096	0.085	0.078	0.076	0.120	0.109	0.000	0.000	0.001	0.001
12.relig	-0.184	-0.176	-0.190	-0.182	0.063	0.067	0.039	0.049	-0.103	-0.105	-0.107	-0.114
	(0.192)	(0.191)	(0.193)	(0.191)	(0.235)	(0.237)	(0.239)	(0.241)	(0.190)	(0.190)	(0.191)	(0.192)
	[-0.560 - 0.192]	[-0.551 - 0.198]	[-0.568 - 0.188]	[-0.556 - 0.191]	[-0.398 - 0.525]	[-0.398 - 0.531]	[-0.429 - 0.507]	[-0.423 - 0.521]	[-0.476 - 0.270]	[-0.477 - 0.268]	[-0.482 - 0.268]	[-0.490 - 0.262]
	0.338	0.356	0.323	0.339	0.788	0.778	0.871	0.840	0.588	0.581	0.577	0.554
13.relig	0.488	0.473	0.452	0.435	0.847	0.824	0.783	0.769	0.238	0.261	0.184	0.207
	(0.495)	(0.499)	(0.502)	(0.503)	(0.520)	(0.519)	(0.529)	(0.538)	(0.599)	(0.590)	(0.599)	(0.596)
	[-0.483 - 1.459]	[-0.505 - 1.451]	[-0.532 - 1.437]	[-0.551 - 1.421]	[-0.171 - 1.865]	[-0.194 - 1.842]	[-0.253 - 1.819]	[-0.286 - 1.823]	[-0.935 - 1.412]	[-0.896 - 1.418]	[-0.990 - 1.359]	[-0.962 - 1.376]
