	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
	[-0.676 - -0.056]	[-0.668 - -0.048]	[-0.686 - -0.058]	[-0.673 - -0.048]	[-0.473 - -0.111]	[-0.473 - -0.108]	[-0.492 - -0.111]	[-0.483 - -0.100]	[-0.533 - 0.156]	[-0.523 - 0.157]	[-0.540 - 0.153]	[-0.546 - 0.149]
	0.021	0.024	0.020	0.024	0.002	0.002	0.002	0.003	0.283	0.292	0.273	0.264
9.relig	0.170	0.172	0.167	0.165	0.075	0.077	0.068	0.075	0.217	0.212	0.210	0.208
	(0.070)	(0.071)	(0.070)	(0.071)	(0.065)	(0.065)	(0.065)	(0.064)	(0.062)	(0.061)	(0.062)	(0.062)
	[0.032 - 0.308]	[0.033 - 0.310]	[0.029 - 0.305]	[0.025 - 0.305]	[-0.053 - 0.202]	[-0.051 - 0.205]	[-0.058 - 0.195]	[-0.052 - 0.201]	[0.096 - 0.338]	[0.092 - 0.332]	[0.088 - 0.332]	[0.087 - 0.329]
	0.015	0.016	0.018	0.021	0.251	0.237	0.289	0.246	0.000	0.001	0.001	0.001
10.relig	0.067	0.065	0.060	0.059	0.014	0.017	0.003	0.005	0.109	0.103	0.099	0.097
	(0.074)	(0.075)	(0.075)	(0.075)	(0.064)	(0.064)	(0.065)	(0.065)	(0.071)	(0.070)	(0.071)	(0.071)
	[-0.079 - 0.213]	[-0.082 - 0.211]	[-0.087 - 0.208]	[-0.089 - 0.207]	[-0.112 - 0.140]	[-0.109 - 0.143]	[-0.125 - 0.130]	[-0.121 - 0.132]	[-0.030 - 0.248]	[-0.035 - 0.241]	[-0.041 - 0.238]	[-0.042 - 0.236]
	0.370	0.387	0.422	0.433	0.830	0.792	0.965	0.933	0.124	0.145	0.165	0.173
11.relig	0.089	0.090	0.085	0.088	0.077	0.078	0.069	0.071	0.177	0.174	0.173	0.170
	(0.050)	(0.050)	(0.051)	(0.051)	(0.045)	(0.045)	(0.046)	(0.046)	(0.050)	(0.049)	(0.050)	(0.050)
	[-0.008 - 0.186]	[-0.008 - 0.187]	[-0.014 - 0.184]	[-0.012 - 0.188]	[-0.012 - 0.165]	[-0.011 - 0.166]	[-0.021 - 0.159]	[-0.019 - 0.161]	[0.080 - 0.274]	[0.078 - 0.271]	[0.076 - 0.271]	[0.073 - 0.268]
	0.073	0.071	0.092	0.086	0.090	0.086	0.132	0.124	0.000	0.000	0.000	0.001
12.relig	-0.037	-0.036	-0.039	-0.037	0.007	0.008	0.004	0.005	-0.025	-0.026	-0.025	-0.027
	(0.040)	(0.040)	(0.041)	(0.040)	(0.037)	(0.037)	(0.037)	(0.037)	(0.041)	(0.041)	(0.041)	(0.041)
	[-0.117 - 0.042]	[-0.115 - 0.043]	[-0.118 - 0.041]	[-0.116 - 0.042]	[-0.064 - 0.079]	[-0.064 - 0.080]	[-0.068 - 0.076]	[-0.067 - 0.077]	[-0.106 - 0.056]	[-0.106 - 0.055]	[-0.106 - 0.056]	[-0.108 - 0.054]
	0.355	0.374	0.339	0.354	0.838	0.821	0.914	0.891	0.544	0.532	0.538	0.514
13.relig	0.099	0.097	0.091	0.090	0.179	0.174	0.166	0.161	0.053	0.058	0.042	0.046
	(0.107)	(0.108)	(0.108)	(0.109)	(0.115)	(0.115)	(0.117)	(0.118)	(0.117)	(0.116)	(0.116)	(0.115)
	[-0.110 - 0.308]	[-0.114 - 0.308]	[-0.121 - 0.303]	[-0.123 - 0.303]	[-0.046 - 0.404]	[-0.051 - 0.399]	[-0.062 - 0.395]	[-0.071 - 0.393]	[-0.176 - 0.282]	[-0.169 - 0.286]	[-0.186 - 0.271]	[-0.180 - 0.273]
	0.355	0.368	0.400	0.408	0.119	0.129	0.154	0.174	0.650	0.614	0.717	0.690
14.relig	0.086	0.089	0.078	0.074	0.087	0.087	0.071	0.077	0.063	0.070	0.057	0.062
	(0.107)	(0.107)	(0.107)	(0.107)	(0.092)	(0.093)	(0.091)	(0.091)	(0.105)	(0.105)	(0.106)	(0.107)
	[-0.124 - 0.296]	[-0.122 - 0.299]	[-0.131 - 0.287]	[-0.136 - 0.284]	[-0.094 - 0.267]	[-0.094 - 0.269]	[-0.107 - 0.250]	[-0.102 - 0.257]	[-0.143 - 0.269]	[-0.136 - 0.275]	[-0.150 - 0.265]	[-0.147 - 0.271]
	0.421	0.409	0.466	0.490	0.345	0.345	0.433	0.398	0.548	0.505	0.588	0.560
15.relig	0.084	0.091	0.091	0.110	0.197	0.198	0.210	0.212	-0.127	-0.142	-0.116	-0.134
	(0.148)	(0.153)	(0.143)	(0.144)	(0.143)	(0.145)	(0.132)	(0.133)	(0.143)	(0.143)	(0.141)	(0.144)
	[-0.207 - 0.374]	[-0.210 - 0.392]	[-0.189 - 0.371]	[-0.172 - 0.392]	[-0.083 - 0.477]	[-0.086 - 0.482]	[-0.049 - 0.470]	[-0.048 - 0.473]	[-0.407 - 0.153]	[-0.422 - 0.138]	[-0.392 - 0.161]	[-0.416 - 0.148]
	0.572	0.554	0.523	0.443	0.168	0.171	0.112	0.110	0.375	0.319	0.412	0.351
2.educ4	0.067	0.072	0.072	0.080	-0.072	-0.071	-0.066	-0.061	-0.060	-0.059	-0.054	-0.059
	(0.067)	(0.066)	(0.067)	(0.066)	(0.061)	(0.060)	(0.061)	(0.060)	(0.061)	(0.060)	(0.060)	(0.061)
	[-0.063 - 0.198]	[-0.057 - 0.201]	[-0.059 - 0.203]	[-0.049 - 0.210]	[-0.192 - 0.047]	[-0.189 - 0.047]	[-0.185 - 0.054]	[-0.179 - 0.057]	[-0.179 - 0.059]	[-0.178 - 0.059]	[-0.172 - 0.065]	[-0.177 - 0.060]
	0.313	0.274	0.281	0.225	0.234	0.235	0.282	0.312	0.321	0.326	0.372	0.333
3.educ4	0.183	0.190	0.187	0.196	-0.023	-0.025	-0.017	-0.017	0.054	0.052	0.057	0.053
	(0.064)	(0.063)	(0.064)	(0.063)	(0.059)	(0.058)	(0.058)	(0.058)	(0.057)	(0.058)	(0.058)	(0.058)
	[0.057 - 0.308]	[0.066 - 0.314]	[0.062 - 0.313]	[0.072 - 0.320]	[-0.138 - 0.092]	[-0.139 - 0.089]	[-0.131 - 0.098]	[-0.130 - 0.097]	[-0.059 - 0.166]	[-0.062 - 0.165]	[-0.056 - 0.170]	[-0.060 - 0.167]
	0.004	0.003	0.003	0.002	0.689	0.671	0.776	0.772	0.351	0.372	0.319	0.358
4.educ4	0.259	0.267	0.264	0.273	0.107	0.105	0.115	0.115	0.194	0.194	0.198	0.195
	(0.068)	(0.068)	(0.068)	(0.068)	(0.063)	(0.062)	(0.062)	(0.062)	(0.061)	(0.061)	(0.061)	(0.061)
