	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
	[-0.285 - 1.103]	[-0.279 - 1.138]	[-0.262 - 1.154]	[-1.179 - 0.322]	[-1.112 - 0.375]	[-1.122 - 0.360]	[-0.855 - 0.278]	[-0.798 - 0.319]	[-0.799 - 0.318]
	0.248	0.235	0.217	0.263	0.331	0.314	0.318	0.400	0.398
3.educ4	0.918	0.954	0.975	-0.110	-0.080	-0.112	0.236	0.256	0.263
	(0.344)	(0.349)	(0.350)	(0.366)	(0.360)	(0.360)	(0.274)	(0.269)	(0.270)
	[0.245 - 1.591]	[0.269 - 1.639]	[0.290 - 1.660]	[-0.827 - 0.608]	[-0.785 - 0.626]	[-0.817 - 0.593]	[-0.300 - 0.772]	[-0.272 - 0.783]	[-0.265 - 0.791]
	0.008	0.006	0.005	0.765	0.825	0.755	0.389	0.342	0.329
4.educ4	1.282	1.291	1.313	0.647	0.675	0.643	0.934	0.922	0.939
	(0.359)	(0.366)	(0.366)	(0.379)	(0.377)	(0.376)	(0.292)	(0.288)	(0.289)
	[0.578 - 1.985]	[0.574 - 2.009]	[0.595 - 2.030]	[-0.095 - 1.390]	[-0.064 - 1.413]	[-0.094 - 1.379]	[0.361 - 1.507]	[0.357 - 1.488]	[0.374 - 1.505]
	0.000	0.000	0.000	0.088	0.073	0.087	0.001	0.001	0.001
2.income	0.426	0.453	0.459	0.095	0.142	0.135	-0.968	-0.907	-0.897
	(0.682)	(0.683)	(0.685)	(0.714)	(0.712)	(0.721)	(0.638)	(0.650)	(0.637)
	[-0.911 - 1.762]	[-0.885 - 1.792]	[-0.884 - 1.802]	[-1.304 - 1.493]	[-1.253 - 1.537]	[-1.278 - 1.549]	[-2.218 - 0.282]	[-2.182 - 0.367]	[-2.146 - 0.352]
	0.532	0.507	0.503	0.894	0.842	0.851	0.129	0.163	0.159
3.income	-0.131	-0.093	-0.084	-0.125	-0.076	-0.098	-0.954	-0.913	-0.887
	(0.678)	(0.684)	(0.685)	(0.685)	(0.707)	(0.710)	(0.627)	(0.635)	(0.617)
	[-1.459 - 1.197]	[-1.433 - 1.246]	[-1.427 - 1.259]	[-1.468 - 1.218]	[-1.461 - 1.310]	[-1.490 - 1.294]	[-2.183 - 0.274]	[-2.158 - 0.332]	[-2.097 - 0.323]
	0.847	0.891	0.903	0.855	0.915	0.890	0.128	0.151	0.151
4.income	-0.433	-0.420	-0.417	-0.739	-0.746	-0.757	-0.601	-0.591	-0.555
	(0.602)	(0.610)	(0.608)	(0.606)	(0.626)	(0.635)	(0.600)	(0.605)	(0.590)
	[-1.613 - 0.747]	[-1.616 - 0.775]	[-1.609 - 0.774]	[-1.927 - 0.450]	[-1.973 - 0.482]	[-2.001 - 0.488]	[-1.777 - 0.575]	[-1.777 - 0.596]	[-1.711 - 0.600]
	0.472	0.491	0.492	0.223	0.234	0.233	0.317	0.329	0.346
5.income	0.106	0.087	0.092	-0.490	-0.532	-0.514	-0.450	-0.505	-0.510
	(0.605)	(0.613)	(0.618)	(0.619)	(0.629)	(0.639)	(0.562)	(0.568)	(0.552)
